bucket,source,blocker_class,events,targets
2026-05-25T14:00:00Z,PR controller,single-flight/concurrency,5,PR07C/HOLD-07C
2026-05-25T14:30:00Z,PR controller,consumed owner evidence,10,PR07C/HOLD-07C
2026-05-25T14:30:00Z,PR controller,single-flight/concurrency,3,PR07C/HOLD-07C
2026-05-25T15:00:00Z,PR controller,consumed owner evidence,11,PR07C/HOLD-07C
2026-05-25T15:00:00Z,PR controller,single-flight/concurrency,2,PR07C/HOLD-07C
2026-05-25T15:30:00Z,PR controller,consumed owner evidence,12,PR07C/HOLD-07C
2026-05-25T15:30:00Z,PR controller,single-flight/concurrency,2,PR07C/HOLD-07C
2026-05-25T16:00:00Z,PR controller,consumed owner evidence,13,PR07C/HOLD-07C
2026-05-25T16:00:00Z,PR controller,single-flight/concurrency,1,PR07C/HOLD-07C
2026-05-25T16:30:00Z,PR controller,consumed owner evidence,12,PR07C/HOLD-07C
2026-05-25T16:30:00Z,PR controller,single-flight/concurrency,1,PR07C/HOLD-07C
2026-05-25T17:00:00Z,PR controller,consumed owner evidence,13,PR07C/HOLD-07C
2026-05-25T17:00:00Z,PR controller,single-flight/concurrency,1,PR07C/HOLD-07C
2026-05-25T17:30:00Z,PR controller,consumed owner evidence,10,PR07C/HOLD-07C
2026-05-25T17:30:00Z,PR controller,single-flight/concurrency,3,PR07C/HOLD-07C
2026-05-25T17:30:00Z,critical-path launches,critical-path launch,1,productive-analysis-action
2026-05-25T18:00:00Z,PR controller,consumed owner evidence,12,PR07C/HOLD-07C
2026-05-25T18:00:00Z,PR controller,single-flight/concurrency,1,PR07C/HOLD-07C
2026-05-25T18:30:00Z,PR controller,consumed owner evidence,13,PR07C/HOLD-07C
2026-05-25T18:30:00Z,PR controller,single-flight/concurrency,3,PR07C/HOLD-07C
2026-05-25T19:00:00Z,PR controller,consumed owner evidence,14,PR07C/HOLD-07C
2026-05-25T19:00:00Z,PR controller,single-flight/concurrency,1,PR07C/HOLD-07C
2026-05-25T19:00:00Z,critical-path launches,critical-path launch,2,productive-analysis-action
2026-05-25T19:30:00Z,PR controller,consumed owner evidence,11,PR07C/HOLD-07C
2026-05-25T19:30:00Z,PR controller,single-flight/concurrency,2,PR07C/HOLD-07C
2026-05-25T19:30:00Z,critical-path launches,critical-path launch,1,productive-analysis-action
2026-05-25T20:00:00Z,PR controller,consumed owner evidence,11,PR07C/HOLD-07C
2026-05-25T20:00:00Z,PR controller,single-flight/concurrency,2,PR07C/HOLD-07C
2026-05-25T20:00:00Z,critical-path launches,critical-path launch,2,productive-analysis-action
2026-05-25T20:30:00Z,PR controller,consumed owner evidence,10,PR07C/HOLD-07C
2026-05-25T20:30:00Z,critical-path launches,critical-path launch,3,productive-analysis-action
