feature,count,feature_category
block-depth:core/columns:0,34,block-depth
block-depth:core/column:1,34,block-depth
serialization-roundtrip-changed,3,other
block:core/preformatted,31,block
action:delete-nested-block,111,action
action:append-parser-stress-content,38,action
action:insert-async-server-block,179,action
action-pair:insert-paragraph->reparse-edited-content,2,action-pair
action-pair:reparse-edited-content->delete-nested-block,6,action-pair
action-pair:delete-nested-block->append-parser-stress-content,2,action-pair
action-pair:append-parser-stress-content->reparse-edited-content,4,action-pair
action-pair:reparse-edited-content->insert-async-server-block,2,action-pair
action-pair:insert-async-server-block->edit-table-array-attributes,15,action-pair
action-pair:insert-paragraph->insert-nested-group,31,action-pair
action-pair:insert-nested-group->edit-block-gauntlet-attributes,2,action-pair
action-pair:edit-block-gauntlet-attributes->insert-common-block,14,action-pair
history-label:action:delete-nested-block:invoke,111,history
history-label:action:delete-nested-block:ok,111,history
history-label:action:append-parser-stress-content:invoke,38,history
history-label:action:append-parser-stress-content:ok,38,history
history-label:action:insert-async-server-block:invoke,179,history
history-label:action:insert-async-server-block:ok,179,history
operation-event-action:invalidated:reparse-edited-content:content,11,operation-ledger
operation-event-action:witnessed:insert-async-server-block:content,154,operation-ledger
operation-event-action:invalidated:edit-block-gauntlet-attributes:content,56,operation-ledger
total-blocks:32,6,other
serialized-size-log2:12,113,serialized-size
payload-size-profile:full:12,15,payload-size
payload-size-transport:http:12,25,payload-size
block-depth:core/preformatted:0,31,block-depth
action:move-block-into-group,113,action
action-pair:delete-nested-block->edit-paragraph,18,action-pair
action-pair:concurrent-paragraphs->insert-async-server-block,13,action-pair
action-pair:insert-async-server-block->insert-block-gauntlet-block,2,action-pair
action-pair:insert-block-gauntlet-block->move-block-into-group,2,action-pair
action-pair:move-block-into-group->edit-table-array-attributes,18,action-pair
action-pair:edit-table-array-attributes->delete-nested-block,14,action-pair
action-pair:delete-nested-block->move-block-into-group,10,action-pair
action-pair:move-block-into-group->insert-common-block,3,action-pair
action-pair:insert-common-block->move-block,20,action-pair
history-label:action:move-block-into-group:invoke,113,history
history-label:action:move-block-into-group:ok,113,history
operation-ledger-missing:1,69,operation-ledger
operation-event:missing:content,123,operation-ledger
operation-event-action:missing:insert-async-server-block:content,112,operation-ledger
operation-missing:insert-async-server-block:content,112,operation-ledger
operation-event-action:invalidated:delete-nested-block:content,82,operation-ledger
payload-size-profile:full:8,1,payload-size
action-pair:delete-nested-block->delete-block,20,action-pair
